time,bus,pd
2023-10-25 22:00:00,6,39.6
2023-10-25 23:00:00,6,26.200000000000003
2023-10-26 00:00:00,6,19.3
2023-10-26 01:00:00,6,17.4
2023-10-26 02:00:00,6,17.0
2023-10-26 03:00:00,6,17.4
2023-10-26 04:00:00,6,20.7
2023-10-26 05:00:00,6,36.6
2023-10-26 06:00:00,6,51.1
2023-10-26 07:00:00,6,54.2
2023-10-26 08:00:00,6,53.6
2023-10-26 09:00:00,6,52.0
2023-10-26 10:00:00,6,52.5
2023-10-26 11:00:00,6,58.9
2023-10-26 12:00:00,6,57.4
2023-10-26 13:00:00,6,49.9
2023-10-26 14:00:00,6,44.7
2023-10-26 15:00:00,6,41.8
2023-10-26 16:00:00,6,45.800000000000004
2023-10-26 17:00:00,6,57.099999999999994
2023-10-26 18:00:00,6,67.7
2023-10-26 19:00:00,6,66.2
2023-10-26 20:00:00,6,61.4
2023-10-26 21:00:00,6,53.5
2023-10-26 22:00:00,6,39.5
2023-10-26 23:00:00,6,26.1
2023-10-27 00:00:00,6,22.0
2023-10-27 01:00:00,6,17.4
2023-10-27 02:00:00,6,16.900000000000002
2023-10-27 03:00:00,6,17.299999999999997
2023-10-27 04:00:00,6,20.7
2023-10-27 05:00:00,6,36.5
2023-10-27 06:00:00,6,50.9
2023-10-27 07:00:00,6,54.0
2023-10-27 08:00:00,6,53.400000000000006
2023-10-27 09:00:00,6,51.800000000000004
2023-10-27 10:00:00,6,52.300000000000004
2023-10-27 11:00:00,6,58.699999999999996
2023-10-27 12:00:00,6,57.199999999999996
2023-10-27 13:00:00,6,49.8
2023-10-27 14:00:00,6,44.5
2023-10-27 15:00:00,6,41.699999999999996
2023-10-27 16:00:00,6,45.7
2023-10-27 17:00:00,6,56.89999999999999
2023-10-27 18:00:00,6,67.5
2023-10-27 19:00:00,6,66.0
2023-10-27 20:00:00,6,61.199999999999996
2023-10-27 21:00:00,6,53.300000000000004
2023-10-27 22:00:00,6,39.4
2023-10-27 23:00:00,6,28.599999999999998
2023-10-28 00:00:00,6,24.2
2023-10-28 01:00:00,6,18.2
2023-10-28 02:00:00,6,17.1
2023-10-28 03:00:00,6,16.900000000000002
2023-10-28 04:00:00,6,17.7
2023-10-28 05:00:00,6,22.900000000000002
2023-10-28 06:00:00,6,36.5
2023-10-28 07:00:00,6,50.7
2023-10-28 08:00:00,6,58.8
2023-10-28 09:00:00,6,63.9
2023-10-28 10:00:00,6,67.2
2023-10-28 11:00:00,6,70.89999999999999
2023-10-28 12:00:00,6,69.39999999999999
2023-10-28 13:00:00,6,63.1
2023-10-28 14:00:00,6,58.099999999999994
2023-10-28 15:00:00,6,57.3
2023-10-28 16:00:00,6,62.3
2023-10-28 17:00:00,6,71.7
2023-10-28 18:00:00,6,77.5
2023-10-28 19:00:00,6,70.5
2023-10-28 20:00:00,6,57.599999999999994
2023-10-28 21:00:00,6,54.2
2023-10-28 22:00:00,6,45.6
2023-10-28 23:00:00,6,32.800000000000004
