time,bus,pd
2023-01-10 15:00:00,6,49.9
2023-01-10 16:00:00,6,50.1
2023-01-10 17:00:00,6,61.199999999999996
2023-01-10 18:00:00,6,79.10000000000001
2023-01-10 19:00:00,6,89.0
2023-01-10 20:00:00,6,80.10000000000001
2023-01-10 21:00:00,6,67.10000000000001
2023-01-10 22:00:00,6,55.50000000000001
2023-01-10 23:00:00,6,41.099999999999994
2023-01-11 00:00:00,6,27.700000000000003
2023-01-11 01:00:00,6,20.5
2023-01-11 02:00:00,6,18.8
2023-01-11 03:00:00,6,18.3
2023-01-11 04:00:00,6,18.6
2023-01-11 05:00:00,6,22.3
2023-01-11 06:00:00,6,42.9
2023-01-11 07:00:00,6,61.6
2023-01-11 08:00:00,6,63.5
2023-01-11 09:00:00,6,58.599999999999994
2023-01-11 10:00:00,6,55.300000000000004
2023-01-11 11:00:00,6,56.3
2023-01-11 12:00:00,6,62.2
2023-01-11 13:00:00,6,61.6
2023-01-11 14:00:00,6,54.900000000000006
2023-01-11 15:00:00,6,49.9
2023-01-11 16:00:00,6,50.1
2023-01-11 17:00:00,6,61.199999999999996
2023-01-11 18:00:00,6,79.10000000000001
2023-01-11 19:00:00,6,89.0
2023-01-11 20:00:00,6,80.10000000000001
2023-01-11 21:00:00,6,67.10000000000001
2023-01-11 22:00:00,6,55.50000000000001
2023-01-11 23:00:00,6,41.099999999999994
2023-01-12 00:00:00,6,27.700000000000003
2023-01-12 01:00:00,6,20.5
2023-01-12 02:00:00,6,18.8
2023-01-12 03:00:00,6,18.3
2023-01-12 04:00:00,6,18.6
2023-01-12 05:00:00,6,22.3
2023-01-12 06:00:00,6,42.9
2023-01-12 07:00:00,6,61.6
2023-01-12 08:00:00,6,63.5
2023-01-12 09:00:00,6,58.599999999999994
2023-01-12 10:00:00,6,55.300000000000004
2023-01-12 11:00:00,6,56.3
2023-01-12 12:00:00,6,62.2
2023-01-12 13:00:00,6,61.6
2023-01-12 14:00:00,6,54.900000000000006
2023-01-12 15:00:00,6,49.9
2023-01-12 16:00:00,6,50.1
2023-01-12 17:00:00,6,61.199999999999996
2023-01-12 18:00:00,6,79.10000000000001
2023-01-12 19:00:00,6,89.0
2023-01-12 20:00:00,6,80.10000000000001
2023-01-12 21:00:00,6,67.10000000000001
2023-01-12 22:00:00,6,55.50000000000001
2023-01-12 23:00:00,6,41.099999999999994
2023-01-13 00:00:00,6,27.700000000000003
2023-01-13 01:00:00,6,20.5
2023-01-13 02:00:00,6,18.8
2023-01-13 03:00:00,6,18.3
2023-01-13 04:00:00,6,18.6
2023-01-13 05:00:00,6,22.3
2023-01-13 06:00:00,6,42.9
2023-01-13 07:00:00,6,61.6
2023-01-13 08:00:00,6,63.5
2023-01-13 09:00:00,6,58.599999999999994
2023-01-13 10:00:00,6,55.300000000000004
2023-01-13 11:00:00,6,56.3
2023-01-13 12:00:00,6,62.2
2023-01-13 13:00:00,6,61.6
2023-01-13 14:00:00,6,54.900000000000006
2023-01-13 15:00:00,6,49.9
2023-01-13 16:00:00,6,50.1
2023-01-13 17:00:00,6,61.199999999999996
2023-01-13 18:00:00,6,79.10000000000001
2023-01-13 19:00:00,6,89.0
2023-01-13 20:00:00,6,80.0
2023-01-13 21:00:00,6,67.10000000000001
2023-01-13 22:00:00,6,55.50000000000001
2023-01-13 23:00:00,6,41.099999999999994
2023-01-14 00:00:00,6,31.900000000000002
2023-01-14 01:00:00,6,20.5
2023-01-14 02:00:00,6,18.8
2023-01-14 03:00:00,6,18.3
2023-01-14 04:00:00,6,18.6
2023-01-14 05:00:00,6,22.3
2023-01-14 06:00:00,6,42.8
2023-01-14 07:00:00,6,61.6
2023-01-14 08:00:00,6,63.5
2023-01-14 09:00:00,6,58.599999999999994
2023-01-14 10:00:00,6,55.300000000000004
2023-01-14 11:00:00,6,56.3
2023-01-14 12:00:00,6,62.2
2023-01-14 13:00:00,6,61.6
2023-01-14 14:00:00,6,54.900000000000006
2023-01-14 15:00:00,6,49.9
2023-01-14 16:00:00,6,50.1
2023-01-14 17:00:00,6,61.199999999999996
2023-01-14 18:00:00,6,79.0
2023-01-14 19:00:00,6,89.0
2023-01-14 20:00:00,6,80.0
2023-01-14 21:00:00,6,67.10000000000001
2023-01-14 22:00:00,6,55.50000000000001
2023-01-14 23:00:00,6,41.099999999999994
