"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","19.03.2024 00:00 - 19.03.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","368","","223","851","n/e","2952","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 01:00 - 19.03.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","205","","228","981","n/e","2954","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 02:00 - 19.03.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","199","","234","844","n/e","2955","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 03:00 - 19.03.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","194","","240","529","n/e","2954","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.03.2024 04:00 - 19.03.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","164","","249","597","n/e","2957","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","19.03.2024 05:00 - 19.03.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","486","","242","1062","n/e","2965","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 06:00 - 19.03.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1347","","260","2508","n/e","2963","n/e","n/e","0","n/e","n/e","3"
"Switzerland (CH)","19.03.2024 07:00 - 19.03.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1881","","306","2819","n/e","2965","n/e","n/e","64","n/e","n/e","4"
"Switzerland (CH)","19.03.2024 08:00 - 19.03.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1643","","300","2735","n/e","2964","n/e","n/e","187","n/e","n/e","3"
"Switzerland (CH)","19.03.2024 09:00 - 19.03.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","648","","275","1315","n/e","2965","n/e","n/e","294","n/e","n/e","3"
